,original_title,runtime,vote_average,release_year,genre
0,Jurassic World,124,6.5,2015,Action
0,Jurassic World,124,6.5,2015,Adventure
0,Jurassic World,124,6.5,2015,Science Fiction
0,Jurassic World,124,6.5,2015,Thriller
1,Mad Max: Fury Road,120,7.1,2015,Action
1,Mad Max: Fury Road,120,7.1,2015,Adventure
1,Mad Max: Fury Road,120,7.1,2015,Science Fiction
1,Mad Max: Fury Road,120,7.1,2015,Thriller
2,Insurgent,119,6.3,2015,Adventure
2,Insurgent,119,6.3,2015,Science Fiction
2,Insurgent,119,6.3,2015,Thriller
3,Star Wars: The Force Awakens,136,7.5,2015,Action
3,Star Wars: The Force Awakens,136,7.5,2015,Adventure
3,Star Wars: The Force Awakens,136,7.5,2015,Science Fiction
3,Star Wars: The Force Awakens,136,7.5,2015,Fantasy
4,Furious 7,137,7.3,2015,Action
4,Furious 7,137,7.3,2015,Crime
4,Furious 7,137,7.3,2015,Thriller
5,The Revenant,156,7.2,2015,Western
5,The Revenant,156,7.2,2015,Drama
5,The Revenant,156,7.2,2015,Adventure
5,The Revenant,156,7.2,2015,Thriller
6,Terminator Genisys,125,5.8,2015,Science Fiction
6,Terminator Genisys,125,5.8,2015,Action
6,Terminator Genisys,125,5.8,2015,Thriller
6,Terminator Genisys,125,5.8,2015,Adventure
7,The Martian,141,7.6,2015,Drama
7,The Martian,141,7.6,2015,Adventure
7,The Martian,141,7.6,2015,Science Fiction
8,Minions,91,6.5,2015,Family
8,Minions,91,6.5,2015,Animation
8,Minions,91,6.5,2015,Adventure
8,Minions,91,6.5,2015,Comedy
9,Inside Out,94,8.0,2015,Comedy
9,Inside Out,94,8.0,2015,Animation
9,Inside Out,94,8.0,2015,Family
10,Spectre,148,6.2,2015,Action
10,Spectre,148,6.2,2015,Adventure
10,Spectre,148,6.2,2015,Crime
11,Jupiter Ascending,124,5.2,2015,Science Fiction
11,Jupiter Ascending,124,5.2,2015,Fantasy
11,Jupiter Ascending,124,5.2,2015,Action
11,Jupiter Ascending,124,5.2,2015,Adventure
12,Ex Machina,108,7.6,2015,Drama
12,Ex Machina,108,7.6,2015,Science Fiction
